Demand category,Demand FIPS,Corn FIPS, Corn (bu) , GHG (kg CO2e) , Irrigation (m3) ,Transport mode, Distance (miles) 
cattle,4013,31029," 2,768,337 "," 27,510,901 "," 37,829,578 ",rail," 1,377 "
cattle,4017,4017," 18,974 "," 180,009 "," 89,314 ",truck, 51 
cattle,4017,31029," 912,992 "," 9,073,042 "," 12,476,122 ",rail," 1,092 "
cattle,4021,4009," 1,009,444 "," 8,445,080 "," 22,373,100 ",truck, 139 
cattle,4021,20201," 1,404,869 "," 22,010,189 "," 3,047,820 ",rail," 1,364 "
cattle,4021,31057," 5,989,164 "," 65,247,939 "," 86,789,487 ",rail," 1,310 "
cattle,4027,31133," 1,684,727 "," 27,530,675 "," 1,546,258 ",rail," 1,534 "
cattle,5047,31127," 5,190 "," 69,462 "," 5,784 ",rail, 482 
cattle,5061,27067," 2,816 "," 14,887 "," 1,299 ",rail," 1,012 "
cattle,5071,31127," 2,137 "," 28,606 "," 2,382 ",rail, 523 
cattle,5081,5081," 2,331 "," 17,473 "," 24,574 ",truck, 12 
cattle,5087,20037," 3,572 "," 83,399 "," 1,644 ",truck, 147 
cattle,6005,6005," 28,929 "," 189,656 "," 53,154 ",truck, 13 
cattle,6005,38051," 67,402 "," 947,995 ", -   ,rail," 2,006 "
cattle,6007,6101," 92,592 "," 1,090,945 "," 3,822,782 ",truck, 49 
cattle,6009,38047," 94,677 "," 1,520,211 ", -   ,rail," 2,001 "
cattle,6019,31047," 631,312 "," 5,527,646 "," 7,748,054 ",rail," 1,626 "
cattle,6019,31073," 1,278,089 "," 13,161,860 "," 13,688,018 ",rail," 1,648 "
cattle,6023,6045," 4,711 "," 30,850 "," 8,657 ",truck, 152 
cattle,6025,38045," 2,246,510 "," 22,760,689 "," 651,070 ",rail," 2,208 "
cattle,6025,38093," 15,068,117 "," 150,396,649 "," 3,068,805 ",rail," 2,164 "
cattle,6029,6029," 713,864 "," 10,172,251 "," 30,710,960 ",truck, 47 
cattle,6029,8085," 307,930 "," 2,691,479 "," 5,160,781 ",rail," 1,119 "
cattle,6029,31073," 392,020 "," 4,037,046 "," 4,198,431 ",rail," 1,640 "
cattle,6031,38003," 1,676,246 "," 15,532,667 "," 148,311 ",rail," 2,311 "
cattle,6033,6011," 21,994 "," 249,995 "," 881,238 ",truck, 48 
cattle,6035,38049," 272,478 "," 3,529,174 ", -   ,rail," 1,703 "
cattle,6039,38069," 5,674 "," 74,666 "," 1,336 ",rail," 2,058 "
cattle,6045,38029," 113,975 "," 1,645,162 "," 38,843 ",rail," 2,108 "
cattle,6047,38003," 9,727 "," 90,132 ", 861 ,rail," 2,209 "
cattle,6053,6053," 31,616 "," 211,606 "," 58,090 ",truck, 32 
cattle,6053,38051," 351,565 "," 4,944,682 ", -   ,rail," 2,160 "
cattle,6065,38045," 226,666 "," 2,296,484 "," 65,691 ",rail," 2,102 "
cattle,6071,38047," 39,464 "," 633,671 ", -   ,rail," 1,968 "
cattle,6079,6079," 19,758 "," 297,439 "," 846,537 ",truck, 31 
cattle,6087,38029," 15,198 "," 219,376 "," 5,180 ",rail," 2,106 "
cattle,6093,38003," 71,685 "," 664,253 "," 6,343 ",rail," 1,845 "
cattle,6095,6095," 330,760 "," 3,755,414 "," 12,009,600 ",truck, 16 
cattle,6099,46007," 106,590 "," 2,331,290 "," 1,045,462 ",rail," 1,603 "
cattle,6103,27119," 374,540 "," 2,575,342 "," 8,869 ",rail," 1,956 "
cattle,6107,31101," 38,451 "," 432,492 "," 507,331 ",rail," 1,572 "
cattle,6113,6113," 96,462 "," 1,171,143 "," 3,799,503 ",truck, 17 
cattle,8001,8001," 14,482 "," 384,281 "," 212,581 ",truck, 18 
cattle,8009,8009," 909,939 "," 13,083,117 "," 22,543,098 ",truck, 26 
cattle,8011,8011," 149,230 "," 1,725,252 ", -   ,truck, 20 
cattle,8011,8017," 594,216 "," 9,047,634 "," 11,432,101 ",truck, 84 
cattle,8013,8013," 203,254 "," 1,811,630 "," 2,484,680 ",truck, 14 
cattle,8013,8014," 11,640 "," 167,528 "," 276,797 ",truck, 18 
cattle,8017,8063," 39,116 "," 635,883 "," 992,701 ",truck, 64 
cattle,8025,8073," 385,428 "," 17,093,863 "," 3,895,352 ",truck, 77 
cattle,8025,46119," 1,567,815 "," 22,536,360 "," 5,871,368 ",rail, 799 
cattle,8029,8029," 28,292 "," 256,461 "," 410,539 ",truck, 17 
cattle,8039,8039," 9,406 "," 614,827 ", -   ,truck, 22 
cattle,8041,46069," 493,973 "," 6,576,362 "," 97,715 ",rail, 722 
cattle,8043,8101," 248,062 "," 2,333,587 "," 5,051,289 ",truck, 46 
cattle,8045,8077," 399,034 "," 4,024,051 "," 7,354,423 ",truck, 68 
cattle,8049,31029," 269,732 "," 2,680,518 "," 3,685,915 ",rail, 398 
cattle,8051,8085," 380,538 "," 3,326,113 "," 6,377,662 ",truck, 93 
cattle,8057,31105," 502,992 "," 7,661,540 "," 7,073,846 ",truck, 183 
cattle,8057,56001," 23,374 "," 222,706 "," 64,572 ",truck, 86 
cattle,8061,8017," 375,429 "," 5,716,341 "," 7,222,859 ",truck, 44 
cattle,8063,8063," 8,211,914 "," 133,494,104 "," 208,402,707 ",truck, 24 
cattle,8067,8067," 50,079 "," 587,651 "," 180,976 ",truck, 21 
cattle,8067,8085," 143,867 "," 1,257,481 "," 2,411,159 ",truck, 139 
cattle,8067,35045," 255,122 "," 1,510,415 "," 426,729 ",truck, 69 
cattle,8069,31105," 7,241 "," 110,295 "," 101,834 ",truck, 115 
cattle,8071,35033," 268,986 "," 1,572,599 "," 449,919 ",truck, 114 
cattle,8071,35059," 82,692 "," 983,680 "," 3,206,903 ",truck, 101 
cattle,8071,46069," 558,869 "," 7,440,340 "," 110,552 ",rail, 858 
cattle,8073,8063," 48,373 "," 786,359 "," 1,227,614 ",truck, 78 
cattle,8075,8095," 9,014,920 "," 111,231,756 "," 154,077,498 ",truck, 47 
cattle,8077,8029," 4,778 "," 43,307 "," 69,326 ",truck, 53 
cattle,8081,46065," 591,955 "," 8,867,706 "," 1,639,079 ",rail, 873 
cattle,8083,8033," 85,138 "," 999,034 "," 307,668 ",truck, 44 
cattle,8083,8083," 85,138 "," 955,046 ", -   ,truck, 23 
cattle,8083,35045," 66,588 "," 394,228 "," 111,379 ",truck, 87 
cattle,8085,8085," 245,224 "," 2,143,398 "," 4,109,863 ",truck, 24 
cattle,8087,8075," 1,587,451 "," 19,231,987 "," 29,919,834 ",truck, 49 
cattle,8087,8121," 3,013,397 "," 43,134,094 "," 58,305,142 ",truck, 45 
cattle,8087,8125," 2,787,979 "," 24,702,345 "," 50,330,305 ",truck, 81 
cattle,8089,8089," 740,829 "," 10,172,471 "," 21,860,538 ",truck, 18 
cattle,8089,46069," 216,323 "," 2,879,954 "," 42,792 ",rail, 816 
cattle,8089,46119," 1,717,770 "," 24,691,872 "," 6,432,941 ",rail, 803 
cattle,8093,8041," 96,820 "," 1,237,065 "," 2,829,484 ",truck, 81 
cattle,8093,8059," 49,485 "," 580,655 "," 178,829 ",truck, 100 
cattle,8093,8085," 18,338 "," 160,283 "," 307,336 ",truck, 207 
cattle,8095,31029," 1,256,504 "," 12,486,755 "," 17,170,236 ",truck, 42 
cattle,8099,8017," 109,650 "," 1,669,546 "," 2,109,548 ",truck, 73 
cattle,8099,8099," 2,119,977 "," 31,823,146 "," 58,574,070 ",truck, 21 
cattle,8101,8101," 295,240 "," 2,777,395 "," 6,011,956 ",truck, 25 
cattle,8103,31029," 526,367 "," 5,230,874 "," 7,192,849 ",rail, 579 
cattle,8105,46065," 4,031 "," 60,387 "," 11,162 ",rail, 885 
cattle,8109,31029," 468,999 "," 4,660,774 "," 6,408,919 ",rail, 627 
cattle,8115,31049," 343,389 "," 5,849,072 "," 4,452,151 ",truck, 26 
cattle,8121,8125," 2,404,317 "," 21,302,988 "," 43,404,215 ",truck, 48 
cattle,8123,8087," 8,647,839 "," 79,981,144 "," 145,321,258 ",truck, 57 
cattle,8123,8123," 9,953,818 "," 94,933,334 "," 158,309,855 ",truck, 33 
cattle,8125,8125," 12,701,346 "," 112,537,823 "," 229,292,521 ",truck, 25 
cattle,9009,9005, 806 ," 7,044 ", -   ,truck, 34 
cattle,9011,36021," 3,018 "," 13,811 ", -   ,truck, 130 
cattle,9015,36021," 3,278 "," 15,001 ", -   ,truck, 122 
cattle,10001,10003," 91,129 "," 869,239 "," 118,388 ",truck, 50 
cattle,10003,34033," 13,978 "," 126,662 "," 37,651 ",truck, 20 
cattle,10005,24033," 68,673 "," 924,328 "," 3,823 ",truck, 102 
cattle,12121,12121," 131,253 "," 1,217,975 "," 576,287 ",truck, 14 
cattle,16001,16027," 1,125,675 "," 7,732,965 "," 11,234,731 ",truck, 26 
cattle,16011,16011," 141,191 "," 1,031,921 "," 1,499,217 ",truck, 24 
cattle,16013,16025," 42,134 "," 270,085 "," 76,326 ",truck, 45 
cattle,16013,38003," 59,480 "," 551,161 "," 5,263 ",rail," 1,302 "
cattle,16019,38045," 684,311 "," 6,933,149 "," 198,323 ",rail," 1,125 "
cattle,16023,38045," 137,956 "," 1,397,708 "," 39,981 ",rail," 1,211 "
cattle,16027,16027," 1,130,965 "," 7,769,300 "," 11,287,519 ",truck, 13 
cattle,16029,38003," 241,237 "," 2,235,383 "," 21,344 ",rail," 1,230 "
cattle,16031,46013," 4,334,913 "," 32,295,093 "," 705,020 ",rail," 1,242 "
cattle,16035,27119," 6,890 "," 47,375 ", 163 ,rail," 1,544 "
cattle,16037,16045," 270,673 "," 1,965,334 "," 2,855,261 ",truck, 176 
cattle,16039,16001," 1,180,786 "," 8,332,134 "," 12,105,199 ",truck, 57 
cattle,16039,16027," 265,216 "," 1,821,933 "," 2,646,970 ",truck, 80 
cattle,16041,46013," 34,956 "," 260,420 "," 5,685 ",rail," 1,226 "
cattle,16043,46013," 184,551 "," 1,374,901 "," 30,015 ",rail," 1,168 "
cattle,16045,16045," 307,314 "," 2,231,378 "," 3,241,774 ",truck, 12 
cattle,16045,16075," 126,967 "," 1,262,592 "," 3,702,199 ",truck, 35 
cattle,16047,16073," 33,639 "," 250,874 "," 364,486 ",truck, 90 
cattle,16049,16003," 13,780 "," 88,327 "," 24,962 ",truck, 107 
cattle,16051,46013," 654,113 "," 4,873,142 "," 106,383 ",rail," 1,089 "
cattle,16053,16053," 490,795 "," 3,530,707 "," 5,129,702 ",truck, 13 
cattle,16053,16083," 300,775 "," 2,262,063 "," 3,286,443 ",truck, 34 
cattle,16057,38003," 58,663 "," 543,587 "," 5,190 ",rail," 1,280 "
cattle,16057,53075," 7,860 "," 66,721 "," 18,850 ",truck, 46 
cattle,16059,30081," 8,410 "," 211,071 "," 806,334 ",truck, 121 
cattle,16063,38003," 32,220 "," 298,562 "," 2,851 ",rail," 1,258 "
cattle,16065,38003," 33,132 "," 307,012 "," 2,931 ",rail," 1,105 "
cattle,16067,16067," 274,262 "," 1,939,633 "," 2,818,044 ",truck, 14 
cattle,16069,38003," 41,643 "," 385,877 "," 3,684 ",rail," 1,306 "
cattle,16073,16073," 167,889 "," 1,252,103 "," 1,819,138 ",truck, 45 
cattle,16075,16075," 518,616 "," 5,157,265 "," 15,122,248 ",truck, 10 
cattle,16077,16077," 289,929 "," 2,338,178 "," 3,397,093 ",truck, 20 
cattle,16081,16019," 84,531 "," 825,885 "," 2,038,793 ",truck, 82 
cattle,16081,56029," 6,212 "," 62,011 "," 140,611 ",truck, 219 
cattle,16083,16083," 26,850 "," 201,934 "," 293,380 ",truck, 23 
cattle,16085,16003," 7,396 "," 47,411 "," 13,399 ",truck, 50 
cattle,16087,16087," 21,379 "," 210,971 "," 598,314 ",truck, 20 
cattle,17001,17001," 299,622 "," 5,373,450 "," 59,130 ",truck, 15 
cattle,17005,17005," 20,998 "," 1,048,263 ", -   ,truck, 10 
cattle,17007,17007," 66,971 "," 750,066 ", -   ,truck, 9 
cattle,17009,17009," 12,328 "," 206,303 "," 1,612 ",truck, 9 
cattle,17011,17011," 319,188 "," 2,941,244 "," 74,799 ",truck, 15 
cattle,17013,17013," 9,431 "," 145,242 ", -   ,truck, 9 
cattle,17015,17015," 1,539,151 "," 13,092,884 "," 302,717 ",truck, 11 
